القسم,الكود,الاسم_في_السيستم,الاسم_في_الميزان,الاسم_في_الاكسيل,سعر_السيستم,سعر_الميزان,سعر_الاكسيل,الملاحظة
"منتجات","104","عسل شمر","عسل شمر","","145","190","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","105","بيض بلدي","بيض بلدي","","8","120","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","106","بيض أحمر وأبيض","بيض أبيض أو أحمر","","6","120","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","107","حليب طبيعي","حليب طبيعي","","30","70","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","108","زيت زيتون بكر ممتاز","زيت زيتون","","180","150","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","109","زبدة بلدي","زبدة بلدي","","160","350","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","110","ماسورة كندوز","","ماسوره","50","","50","موجود في السيستم وغير موجود على الميزان"
"منتجات","111","قلب وكلاوي مشكلة","قلب وكلاوي مشكلة","","88","495","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","112","مفروم دسم","مفروم ملبس","مفروم ملبس","470","475","470","تعارض سعر بين الاكسيل والميزان"
"منتجات","113","مفروم صافي","مفروم أحمر","مفروم احمر","495","495","495",""
"منتجات","400","مخاصي","مخاصي","","120","400","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","BETLO-betlo-fridge","بتلو ثلاجة","","","360","","","موجود في السيستم وغير موجود على الميزان"
"منتجات","BETLO-betlo-half","نصف عجل بتلو","","","360","","","موجود في السيستم وغير موجود على الميزان"
"منتجات","BETLO-betlo-quarter","ربع عجل بتلو","","","360","","","موجود في السيستم وغير موجود على الميزان"
"منتجات","CUSTOM-BRAIN","مخ","","مخ","400","","400","موجود في السيستم وغير موجود على الميزان"
"منتجات","CUSTOM-LAMB-HANK","هانك ضاني","","هانك ضاني","370","","370","موجود في السيستم وغير موجود على الميزان"
"منتجات","CUSTOM-OXTAIL","عكاوي","","عكاوي","475","","475","موجود في السيستم وغير موجود على الميزان"
"منتجات","CUSTOM-RIBEYE","ريب آي","","ريب اي","510","","510","موجود في السيستم وغير موجود على الميزان"
"منتجات","CUSTOM-SAMANA","سمانة","","سمانه","510","","510","موجود في السيستم وغير موجود على الميزان"
"منتجات","CUSTOM-TOMAHAWK","توم هوك","","توم هوك","525","","525","موجود في السيستم وغير موجود على الميزان"
"منتجات","CUSTOM-VEAL-LIVER-MIXED","كبدة بتلو مشكل","","كبده بتلو مشكل","650","","650","موجود في السيستم وغير موجود على الميزان"
"منتجات","DHANI-dhani-fridge","ضاني ثلاجة","","","400","","","موجود في السيستم وغير موجود على الميزان"
"منتجات","DHANI-dhani-half","نصف ذبيحة ضاني","","","400","","","موجود في السيستم وغير موجود على الميزان"
"منتجات","DHANI-dhani-quarter","ربع ذبيحة ضاني","","","400","","","موجود في السيستم وغير موجود على الميزان"
"منتجات","FARM-001","عجل","","عجل جاموسي وزن","195","","195","موجود في السيستم وغير موجود على الميزان"
"منتجات","FARM-farm-baladi-goat","جدي بلدي","","","3500","","","موجود في السيستم وغير موجود على الميزان"
"منتجات","FARM-farm-baladi-sheep","خروف بلدي","","خروف بلدي","260","","260","موجود في السيستم وغير موجود على الميزان"
"منتجات","FARM-farm-barqi-goat","جدي برقي","","","3200","","","موجود في السيستم وغير موجود على الميزان"
"منتجات","FARM-farm-barqi-sheep","خروف برقي","","خروف برقي","300","","300","موجود في السيستم وغير موجود على الميزان"
"منتجات","FARM-farm-beef-calf","عجل بقري","","عجل بقري وزن","28000","","220","موجود في السيستم وغير موجود على الميزان"
"منتجات","FARM-farm-buffalo-calf","عجل جاموسي","","عجل جاموسي وزن","195","","195","موجود في السيستم وغير موجود على الميزان"
"منتجات","FARM-farm-veal","بتلو حي","","عجل بتلو (واحد)","18000","","36000","موجود في السيستم وغير موجود على الميزان"
"منتجات","KANDOUZ-kandouz-fridge","لحم كندوز","","لحم كندوز","495","","495","موجود في السيستم وغير موجود على الميزان"
"منتجات","KANDOUZ-kandouz-half","نصف عجل كندوز","","نصف عجل","310","","52000","موجود في السيستم وغير موجود على الميزان"
"منتجات","KANDOUZ-kandouz-quarter","ربع عجل كندوز","","ربع عجل","310","","25000","موجود في السيستم وغير موجود على الميزان"
"منتجات","OFFAL-offal-bone-kandouz","عظم كندوز","","","20","","","موجود في السيستم وغير موجود على الميزان"
"منتجات","SERV-svc-cook-meat","تسوية لحم","","","40","","","موجود في السيستم وغير موجود على الميزان"
"منتجات","SERV-svc-grind","فرم لحمة","","فرم لحم","15","","40","موجود في السيستم وغير موجود على الميزان"
"منتجات","SERV-svc-process-meat","توضيب لحمة","","توضيب لحم","20","","50","موجود في السيستم وغير موجود على الميزان"
"منتجات","SERV-svc-rice-basmati","وجبة رز بسمتي","","","40","","","موجود في السيستم وغير موجود على الميزان"
